iter	RMSE
0	0.9180955322
1	0.8313273713
2	0.7529043032
3	0.6822028233
4	0.6180501531
5	0.5597038914
6	0.5071407648
7	0.459814909
8	0.4169533552
9	0.3779229952
10	0.3426265413
11	0.310471803
12	0.281494365
13	0.2552860029
14	0.2314639166
15	0.2101276686
16	0.1906590077
17	0.1729942498
18	0.1570877477
19	0.1426821302
20	0.1297382692
21	0.117946583
22	0.1072630217
23	0.09761489273
24	0.08892938529
25	0.08101969471
26	0.07389460393
27	0.06745786379
28	0.06175053944
29	0.05666338514
30	0.05212330219
31	0.04796562849
32	0.04424675619
33	0.04094559565
34	0.03806017108
35	0.03546476424
36	0.03317933043
37	0.0312022452
38	0.0294587367
39	0.02795659185
40	0.02665159204
41	0.02551305543
42	0.02456609923
43	0.02373766347
44	0.02301437562
45	0.02239733326
46	0.02188249431
47	0.02145064745
48	0.02105186882
49	0.02073581755
50	0.02044587098
51	0.02018371716
52	0.01988679625
53	0.01967792283
54	0.01941249388
55	0.01925524716
56	0.01912670237
57	0.01888562918
58	0.01875396509
59	0.01858005359
60	0.01843450632
61	0.01833682587
62	0.01825387327
63	0.01809116507
64	0.01800895555
65	0.01791988214
66	0.01781817249
67	0.01769356178
68	0.01762443243
69	0.01754491627
70	0.01748594383
71	0.01736418209
72	0.01727594893
73	0.01721086561
74	0.01715955103
75	0.01709569805
76	0.01703243976
77	0.01693722596
78	0.01690529349
79	0.0168539764
80	0.01682560509
81	0.01678881309
82	0.01669296797
83	0.01661817515
84	0.01657935922
85	0.01654506218
86	0.01651931677
87	0.01648891238
88	0.01643681306
89	0.01634719192
90	0.01631707271
91	0.01626880508
92	0.01624005064
93	0.01619751914
94	0.01614066726
95	0.01607595664
96	0.01601810013
97	0.01598014979
98	0.01591816928
99	0.01589623082
